Technologies;F;f_min;f_max;F_year
NUCLEAR;0.0;0.0;0.0;0.0
NUCLEAR_SMR;0.0;0.0;0.0;0.0
CCGT_AMMONIA;0.0;0.0;0.0;0.0
COAL_US;0.0;0.0;0.0;0.0
COAL_IGCC;0.0;0.0;0.0;0.0
BIOMASS_TO_POWER;0.0;0.0;0.0;0.0
PV_ROOFTOP;0.0;0.0;0.0;0.0
PV_UTILITY;0.08920389410962844;0.0051;5000000000000000.0;132.89779463127655
PV_HS;0.0017999794458082505;1.924e-05;5000000000000000.0;2.6544114269221364
PT_COLLECTOR;0.0;0.0;0.0;0.0
ST_COLLECTOR;0.0;0.0;0.0;0.0
PT_POWER_BLOCK;0.0;0.0;0.0;0.0
ST_POWER_BLOCK;0.0;0.0;0.0;0.0
WIND_ONSHORE;0.0;0.0;0.0;0.0
WIND_OFFSHORE;0.0;0.0;0.0;0.0
HYDRO_DAM;0.0;0.0;0.0;0.0
HYDRO_RIVER;0.0;0.0;0.0;0.0
TIDAL_STREAM;0.0;0.0;0.0;0.0
TIDAL_RANGE;0.0;0.0;0.0;0.0
WAVE;0.0;0.0;0.0;0.0
GEOTHERMAL;0.0;0.0;0.0;0.0
GENSET_DIESEL;0.08811000106014882;0.0881099999999998;5000000000000000.0;4.40962182093161
HS_DIESEL;0.0005490569813497434;0.00022479;5000000000000000.0;1.7696289918971493
OCGT;0.0;0.0;0.0;0.0
CCGT;0.0;0.0;0.0;0.0
ST_BIOMASS;0.0;0.0;0.0;0.0
ST_SNG;0.0;0.0;0.0;0.0
CCGT_SUR;0.0;0.0;0.0;0.0
IND_COGEN_GAS;0.0;0.0;0.0;0.0
IND_COGEN_WOOD;0.0;0.0;0.0;0.0
IND_COGEN_WASTE;0.0;0.0;0.0;0.0
IND_BOILER_GAS;0.0;0.0;0.0;0.0
IND_BOILER_WOOD;0.002999999999999735;0.002999999999999735;5000000000000000.0;0.0
IND_BOILER_BIOWASTE;0.0;0.0;0.0;0.0
IND_BOILER_OIL;0.0006947311647018819;0.0006947311647018819;5000000000000000.0;0.0
IND_BOILER_COAL;0.0;0.0;0.0;0.0
IND_BOILER_WASTE;0.0;0.0;0.0;0.0
IND_DIRECT_ELEC;0.0;0.0;0.0;0.0
DHN_HP_ELEC;0.0;0.0;0.0;0.0
DHN_COGEN_GAS;0.0;0.0;0.0;0.0
DHN_COGEN_WOOD;0.0;0.0;0.0;0.0
DHN_COGEN_WASTE;0.0;0.0;0.0;0.0
DHN_BOILER_GAS;0.0;0.0;0.0;0.0
DHN_BOILER_WOOD;0.0;0.0;0.0;0.0
DHN_BOILER_OIL;0.0;0.0;0.0;0.0
DHN_DEEP_GEO;0.0;0.0;0.0;0.0
DHN_SOLAR;0.0;0.0;0.0;0.0
DEC_HP_ELEC;0.0;0.0;0.0;0.0
DEC_THHP_GAS;0.0;0.0;0.0;0.0
DEC_COGEN_GAS;0.0;0.0;0.0;0.0
DEC_COGEN_OIL;0.0;0.0;0.0;0.0
DEC_ADVCOGEN_GAS;0.0;0.0;0.0;0.0
DEC_ADVCOGEN_H2;0.0;0.0;0.0;0.0
DEC_BOILER_GAS;1.403677376472899e-05;1.3970346675931213e-05;5000000000000000.0;0.00045355903142420907
DEC_BOILER_WOOD;0.0;0.0;0.0;0.0
DEC_BOILER_OIL;0.0;0.0;0.0;0.0
DEC_SOLAR;0.0486238310331946;0.0;5000000000000000.0;72.76095028944205
DEC_DIRECT_ELEC;0.00671026581817817;0.0010898399999998477;5000000000000000.0;3.1206516132384725
DEC_ELEC_COLD;0.0054732150090279095;0.0;5000000000000000.0;19.97689651762739
DEC_THHP_GAS_COLD;0.0;0.0;0.0;0.0
IND_ELEC_COLD;0.0;0.0;5000000000000000.0;0.0
TRAMWAY_TROLLEY;0.0;0.0;0.0;0.0
BUS_COACH_DIESEL;0.0;0.0;0.0;0.0
BUS_COACH_HYDIESEL;0.0;0.0;0.0;0.0
BUS_COACH_CNG_STOICH;0.0;0.0;0.0;0.0
BUS_COACH_FC_HYBRIDH2;0.0;0.0;0.0;0.0
TRAIN_PUB;0.0;0.0;0.0;0.0
PLANE_SHORT_HAUL;0.0;0.0;0.0;0.0
PLANE_H2_SHORT_HAUL;0.0;0.0;0.0;0.0
PLANE_LONG_HAUL;0.0;0.0;0.0;0.0
CAR_GASOLINE;0.0;0.0;0.0;0.0
CAR_DIESEL;0.0;0.0;0.0;0.0
CAR_NG;0.0;0.0;0.0;0.0
CAR_METHANOL;0.0;0.0;0.0;0.0
CAR_HEV;0.0;0.0;0.0;0.0
CAR_PHEV;0.0;0.0;0.0;0.0
CAR_BEV;0.0;0.0;0.0;0.0
CAR_FUEL_CELL;0.0;0.0;0.0;0.0
TRAIN_FREIGHT;0.0;0.0;0.0;0.0
BOAT_FREIGHT_DIESEL;0.0;0.0;0.0;0.0
BOAT_FREIGHT_NG;0.0;0.0;0.0;0.0
BOAT_FREIGHT_METHANOL;0.0;0.0;0.0;0.0
CARGO_LFO;0.0;0.0;0.0;0.0
CARGO_LNG;0.0;0.0;0.0;0.0
CARGO_METHANOL;0.0;0.0;0.0;0.0
