Elements;C_inv;C_maint;C_op
NUCLEAR;0.0;0.0;0.0
NUCLEAR_SMR;0.0;0.0;0.0
CCGT_AMMONIA;0.0;0.0;0.0
COAL_US;0.0;0.0;0.0
COAL_IGCC;0.0;0.0;0.0
BIOMASS_TO_POWER;0.0;0.0;0.0
PV_ROOFTOP;0.0;0.0;0.0
PV_UTILITY;8.701901413002965;2.349452261251625;0.0
PV_HS;0.6947950033966286;0.02195733162486105;0.0
PT_COLLECTOR;0.0;0.0;0.0
ST_COLLECTOR;0.0;0.0;0.0
PT_POWER_BLOCK;0.0;0.0;0.0
ST_POWER_BLOCK;0.0;0.0;0.0
WIND_ONSHORE;0.0;0.0;0.0
WIND_OFFSHORE;0.0;0.0;0.0
HYDRO_DAM;0.0;0.0;0.0
HYDRO_RIVER;0.0;0.0;0.0
TIDAL_STREAM;0.0;0.0;0.0
TIDAL_RANGE;0.0;0.0;0.0
WAVE;0.0;0.0;0.0
GEOTHERMAL;0.0;0.0;0.0
GENSET_DIESEL;6.383400146252717e-05;0.6106002176002412;0.0
HS_DIESEL;0.10127164627097211;0.002337245613424526;0.0
OCGT;0.0;0.0;0.0
CCGT;0.0;0.0;0.0
ST_BIOMASS;0.0;0.0;0.0
ST_SNG;0.0;0.0;0.0
CCGT_SUR;0.0;0.0;0.0
IND_COGEN_GAS;0.0;0.0;0.0
IND_COGEN_WOOD;0.0;0.0;0.0
IND_COGEN_WASTE;0.0;0.0;0.0
IND_BOILER_GAS;0.0;0.0;0.0
IND_BOILER_WOOD;0.0;0.007601835377999329;0.0
IND_BOILER_BIOWASTE;0.0;0.0;0.0
IND_BOILER_OIL;0.0;0.0009107365897064959;0.0
IND_BOILER_COAL;0.0;0.0;0.0
IND_BOILER_WASTE;0.0;0.0;0.0
IND_DIRECT_ELEC;0.0;0.0;0.0
DHN_HP_ELEC;0.0;0.0;0.0
DHN_COGEN_GAS;0.0;0.0;0.0
DHN_COGEN_WOOD;0.0;0.0;0.0
DHN_COGEN_WASTE;0.0;0.0;0.0
DHN_BOILER_GAS;0.0;0.0;0.0
DHN_BOILER_WOOD;0.0;0.0;0.0
DHN_BOILER_OIL;0.0;0.0;0.0
DHN_DEEP_GEO;0.0;0.0;0.0
DHN_SOLAR;0.0;0.0;0.0
DEC_HP_ELEC;0.0;0.0;0.0
DEC_THHP_GAS;0.0;0.0;0.0
DEC_COGEN_GAS;0.0;0.0;0.0
DEC_COGEN_OIL;0.0;0.0;0.0
DEC_ADVCOGEN_GAS;0.0;0.0;0.0
DEC_ADVCOGEN_H2;0.0;0.0;0.0
DEC_BOILER_GAS;0.00011328230581021541;0.00017346784014878503;0.0
DEC_BOILER_WOOD;0.0;0.0;0.0
DEC_BOILER_OIL;0.0;0.0;0.0
DEC_SOLAR;3.941133336011835;0.39691839366368786;0.0
DEC_DIRECT_ELEC;0.032615069867855485;0.0012851089405628595;0.0
DEC_ELEC_COLD;0.32828115278254705;0.11761939054400974;0.0
DEC_THHP_GAS_COLD;0.0;0.0;0.0
IND_ELEC_COLD;0.0;0.0;0.0
TRAMWAY_TROLLEY;0.0;0.0;0.0
BUS_COACH_DIESEL;0.0;0.0;0.0
BUS_COACH_HYDIESEL;0.0;0.0;0.0
BUS_COACH_CNG_STOICH;0.0;0.0;0.0
BUS_COACH_FC_HYBRIDH2;0.0;0.0;0.0
TRAIN_PUB;0.0;0.0;0.0
PLANE_SHORT_HAUL;0.0;0.0;0.0
PLANE_H2_SHORT_HAUL;0.0;0.0;0.0
PLANE_LONG_HAUL;0.0;0.0;0.0
CAR_GASOLINE;0.0;0.0;0.0
CAR_DIESEL;0.0;0.0;0.0
CAR_NG;0.0;0.0;0.0
CAR_METHANOL;0.0;0.0;0.0
CAR_HEV;0.0;0.0;0.0
CAR_PHEV;0.0;0.0;0.0
CAR_BEV;0.0;0.0;0.0
CAR_FUEL_CELL;0.0;0.0;0.0
TRAIN_FREIGHT;0.0;0.0;0.0
BOAT_FREIGHT_DIESEL;0.0;0.0;0.0
BOAT_FREIGHT_NG;0.0;0.0;0.0
BOAT_FREIGHT_METHANOL;0.0;0.0;0.0
CARGO_LFO;0.0;0.0;0.0
CARGO_LNG;0.0;0.0;0.0
CARGO_METHANOL;0.0;0.0;0.0
CARGO_AMMONIA;0.0;0.0;0.0
CARGO_FUELCELL_LH2;0.0;0.0;0.0
CARGO_FUELCELL_AMMONIA;0.0;0.0;0.0
CARGO_RETRO_METHANOL;0.0;0.0;0.0
CARGO_RETRO_AMMONIA;0.0;0.0;0.0
TRUCK_DIESEL;0.0;0.0;0.0
TRUCK_METHANOL;0.0;0.0;0.0
TRUCK_FUEL_CELL;0.0;0.0;0.0
TRUCK_ELEC;0.0;0.0;0.0
TRUCK_NG;0.0;0.0;0.0
EFFICIENCY;0.0;0.0;0.0
DHN;0.0;0.0;0.0
GRID;0.0;0.0;0.0
HVAC_LINE;0.26067484736381685;0.05098305106804657;0.0
HVDC_SUBSEA;0.0;0.0;0.0
GAS_PIPELINE;0.0;0.0;0.0
GAS_SUBSEA;0.0;0.0;0.0
H2_RETROFITTED;0.0;0.0;0.0
H2_NEW;0.0;0.0;0.0
H2_SUBSEA_RETRO;0.0;0.0;0.0
H2_SUBSEA_NEW;0.0;0.0;0.0
H2_ELECTROLYSIS;0.0;0.0;0.0
H2_NG;0.0;0.0;0.0
H2_BIOMASS;0.0;0.0;0.0
BIOMASS_TO_METHANE;0.0;0.0;0.0
BIOWASTE_TO_METHANE;0.0;0.0;0.0
SYN_METHANATION;0.0;0.0;0.0
BIOMETHANATION_WET_BIOMASS;0.0;0.0;0.0
BIOMETHANATION_BIOWASTE;0.0;0.0;0.0
BIOMASS_TO_JET_FUEL;0.0;0.0;0.0
BIOMASS_TO_LFO;0.0;0.0;0.0
BIOWASTE_TO_JET_FUEL;0.0;0.0;0.0
BIOWASTE_TO_LFO;0.0;0.0;0.0
DIESEL_TO_JET_FUEL;0.0;0.0;0.0
ATM_CCS;0.0;0.0;0.0
INDUSTRY_CCS;0.0;0.0;0.0
SYN_METHANOLATION;0.0;0.0;0.0
METHANE_TO_METHANOL;0.0;0.0;0.0
BIOMASS_TO_METHANOL;0.0;0.0;0.0
BIOWASTE_TO_METHANOL;0.0;0.0;0.0
HABER_BOSCH;0.0;0.0;0.0
POWER_TO_JET_FUEL;0.0;0.0;0.0
POWER_TO_LFO;0.0;0.0;0.0
H2_TO_JET_FUEL;0.0;0.0;0.0
H2_TO_LFO;0.0;0.0;0.0
AMMONIA_TO_H2;0.0;0.0;0.0
OIL_TO_HVC;0.0;0.0;0.0
GAS_TO_HVC;0.0;0.0;0.0
BIOMASS_TO_HVC;0.0;0.0;0.0
METHANOL_TO_HVC;0.0;0.0;0.0
BATT_LI;8.08786009689672;0.09510544188940132;0.0
BATT_HS;0.09941540290403272;0.010994916068762583;0.0
CAES;0.0;0.0;0.0
BEV_BATT;0.0;0.0;0.0
PHEV_BATT;0.0;0.0;0.0
DAM_STORAGE;0.0;0.0;0.0
PHS;0.0;0.0;0.0
TS_DEC_DIRECT_ELEC;0.24835073021867912;0.015424086167246652;0.0
TS_DEC_HP_ELEC;0.0;0.0;0.0
TS_DEC_THHP_GAS;0.0;0.0;0.0
TS_DEC_COGEN_GAS;0.0;0.0;0.0
TS_DEC_COGEN_OIL;0.0;0.0;0.0
TS_DEC_ADVCOGEN_GAS;0.0;0.0;0.0
TS_DEC_ADVCOGEN_H2;0.0;0.0;0.0
TS_DEC_BOILER_GAS;0.0006595589047346267;4.096260707606555e-05;0.0
TS_DEC_BOILER_WOOD;0.0;0.0;0.0
TS_DEC_BOILER_OIL;0.0;0.0;0.0
TS_DHN_DAILY;0.0;0.0;0.0
TS_DHN_SEASONAL;0.0;0.0;0.0
TS_HIGH_TEMP;0.0;0.0;0.0
GAS_STORAGE;0.0;0.0;0.0
H2_STORAGE;0.0;0.0;0.0
DIESEL_STORAGE;5.081681776174891e-06;0.015307416140153114;0.0
JET_FUEL_STORAGE;0.0011418083669610646;0.0009483181990286968;0.0
GASOLINE_STORAGE;3.7456272280130756e-05;0.01418104970479379;0.0
LFO_STORAGE;0.0;0.0;0.0
AMMONIA_STORAGE;0.0;0.0;0.0
METHANOL_STORAGE;0.0;0.0;0.0
PT_STORAGE;0.0;0.0;0.0
ST_STORAGE;0.0;0.0;0.0
TS_COLD;0.0;0.0;0.0
CO2_STORAGE;0.0;0.0;0.0
STOVE_WOOD;1.1985864797283847e-05;0.01955481765390953;0.0
STOVE_LPG;1.5675525523006286e-06;0.22049281010263228;0.0
STOVE_NG;3.5669598295561e-05;0.0009464261813593844;0.0
STOVE_OIL;1.1292959201938892e-05;0.0009276402547508154;0.0
STOVE_ELEC;0.04117738394660831;0.006325429954012156;0.0
PLANE;0.0;0.0;0.0
FERMENTATION_TO_BIOETHANOL;0.0;0.0;0.0
ESTERIFICATION_TO_BIODIESEL;0.0;0.0;0.0
IND_BOILER_DIESEL;0.0;0.0013358028850277781;0.0
IND_BOILER_LPG;0.0;0.0;0.0
LPG_STORAGE;0.011268475029747635;0.004069013395553512;0.0
LNG_STORAGE;0.0022695139027317126;0.0007670695535842399;0.0
CAR_FG_PRIVATE;0.0;0.0;0.0
BUS_FG_PRIVATE;0.0;0.0;0.0
